Title,Date added,Template,Cycle,Session,State under Review,State under Review - Regional Group,State under Review - Organisations,Recommendation,Recommending State,Recommending State - Regional Group,Recommending State - Organisations,Action Category,Response,Issues,Geolocation,Documents,Attachments,Published
137.93.2,2020-05-18,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Burundi,Africa (African Group),"AU (African Union)|OIF (Organisation internationale de la Francophonie)",Decriminalize homosexuality,Iceland,WEOG (Western European & Other States Group),,4 - General action,Noted,Sexual Orientation and Gender Identity,,,,Published
137.93.1,2020-05-18,Recommendation,Cycle 3 (2017 - 2021),29 - January 2018,Burundi,Africa (African Group),"AU (African Union)|OIF (Organisation internationale de la Francophonie)",Decriminalize homosexuality,Timor-Leste,Asia (Asian Group),,4 - General action,Noted,Sexual Orientation and Gender Identity,,,,Published
158.38.1,2020-05-18,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Bhutan,Asia (Asian Group),,"Decriminalize same sex sexual conduct
between consenting
adults ",Belgium,WEOG (Western European & Other States Group),"EU (European Union)|OIF (Organisation internationale de la Francophonie)",5 - Specific action,Supported,Sexual Orientation and Gender Identity,,,,Published
121.92.3,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),,Brunei Darussalam,Asia (Asian Group),"OIC (Organisation of the Islamic Cooperation)|ASEAN (Association of Southeast Asian Nations)|Commonwealth",decriminalize all sexual activity between consenting adults,Australia,Asia (Asian Group),"Commonwealth|PIF (Pacific Islands Forum)",3 - Considering action,,Sexual Orientation and Gender Identity,,,,Published
121.92.2,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),,Brunei Darussalam,Asia (Asian Group),"OIC (Organisation of the Islamic Cooperation)|ASEAN (Association of Southeast Asian Nations)|Commonwealth",decriminalize same-sex sexual conduct between consenting adults,Belgium,WEOG (Western European & Other States Group),"EU (European Union)|OIF (Organisation internationale de la Francophonie)",3 - Considering action,,Sexual Orientation and Gender Identity,,,,Published
121.92.1,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),,Brunei Darussalam,Asia (Asian Group),"OIC (Organisation of the Islamic Cooperation)|ASEAN (Association of Southeast Asian Nations)|Commonwealth",Decriminalize consensual same-sex acts and adultery,Iceland,WEOG (Western European & Other States Group),,3 - Considering action,,Sexual Orientation and Gender Identity,,,,Published
158.39.7,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Bhutan,Asia (Asian Group),,Decriminalize consensual same-sex conduct by repealing or amending sections 213 and 214 of the Penal Code of Bhutan,Ireland,WEOG (Western European & Other States Group),EU (European Union),3 - Considering action,Supported,Sexual Orientation and Gender Identity,,,,Published
158.39.6,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Bhutan,Asia (Asian Group),,Decriminalize consensual same-sex acts by either revoking or amending sections 213 and 214 of the Penal Code,Iceland,WEOG (Western European & Other States Group),,3 - Considering action,Supported,Sexual Orientation and Gender Identity,,,,Published
158.39.5,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Bhutan,Asia (Asian Group),,Decriminalize consensual same-sex conduct by revoking or amending sections 213 and 214 of the Penal Code,Germany,WEOG (Western European & Other States Group),EU (European Union),3 - Considering action,Supported,Sexual Orientation and Gender Identity,,,,Published
158.39.4,2020-05-01,Recommendation,Cycle 3 (2017 - 2021),33 - May 2019,Bhutan,Asia (Asian Group),,Revoke section 213 of the Penal Code,Cyprus,Asia (Asian Group),"EU (European Union)|OIF (Organisation internationale de la Francophonie)|Commonwealth",3 - Considering action,Supported,Sexual Orientation and Gender Identity,,,,Published
